redgauntlet;by;sir;
and;exhibiting;a;
exhibiting;a;character;
a;character;turning;
character;turning;upon;
turning;upon;points;
upon;points;more;
points;more;adapted;
more;adapted;to;
adapted;to;poetry;
to;poetry;than;
poetry;than;to;
than;to;the;
to;the;prose;
the;prose;of;
prose;of;real;
of;real;life;
real;life;their;
life;their;prince;
their;prince;young;
prince;young;valiant;
young;valiant;patient;
valiant;patient;of;
patient;of;fatigue;
of;fatigue;and;
fatigue;and;despising;
and;despising;danger;
despising;danger;heading;
danger;heading;his;
heading;his;army;
his;army;on;
army;on;foot;
on;foot;in;
foot;in;the;
in;the;most;
the;most;toilsome;
most;toilsome;marches;
toilsome;marches;and;
marches;and;defeating;
and;defeating;a;
defeating;a;regular;
a;regular;force;
regular;force;in;
force;in;three;
in;three;battles--all;
three;battles--all;these;
battles--all;these;were;
these;were;circumstances;
were;circumstances;fascinating;
circumstances;fascinating;to;
fascinating;to;the;
to;the;imagination;
the;imagination;and;
imagination;and;might;
and;might;well;
might;well;be;
well;be;supposed;
be;supposed;to;
supposed;to;seduce;
to;seduce;young;
seduce;young;and;
young;and;enthusiastic;
and;enthusiastic;minds;
enthusiastic;minds;to;
minds;to;the;
to;the;cause;
the;cause;in;
cause;in;which;
in;which;they;
which;they;were;
they;were;found;
were;found;united;
found;united;although;
united;although;wisdom;
although;wisdom;and;
wisdom;and;reason;
and;reason;frowned;
reason;frowned;upon;
frowned;upon;the;
upon;the;enterprise;
the;enterprise;the;
enterprise;the;adventurous;
the;adventurous;prince;
adventurous;prince;as;
prince;as;is;
as;is;well;
is;well;known;
well;known;proved;
known;proved;to;
proved;to;be;
to;be;one;
be;one;of;
one;of;those;
of;those;personages;
those;personages;who;
personages;who;distinguish;
who;distinguish;themselves;
distinguish;themselves;during;
themselves;during;some;
during;some;single;
some;single;and;
single;and;extraordinarily;
and;extraordinarily;brilliant;
extraordinarily;brilliant;period;
brilliant;period;of;
period;of;their;
of;their;lives;
their;lives;like;
lives;like;the;
like;the;course;
the;course;of;
course;of;a;
of;a;shooting-star;
a;shooting-star;at;
shooting-star;at;which;
at;which;men;
which;men;wonder;
men;wonder;as;
wonder;as;well;
as;well;on;
well;on;account;
on;account;of;
account;of;the;
of;the;briefness;
the;briefness;as;
briefness;as;the;
as;the;brilliancy;
the;brilliancy;of;
brilliancy;of;its;
of;its;splendour;
its;splendour;a;
splendour;a;long;
a;long;tract;
long;tract;of;
tract;of;darkness;
of;darkness;overshadowed;
darkness;overshadowed;the;
overshadowed;the;subsequent;
the;subsequent;life;
subsequent;life;of;
life;of;a;
of;a;man;
a;man;who;
man;who;in;
who;in;his;
in;his;youth;
his;youth;showed;
youth;showed;himself;
showed;himself;so;
himself;so;capable;
so;capable;of;
capable;of;great;
of;great;undertakings;
great;undertakings;and;
undertakings;and;without;
and;without;the;
without;the;painful;
the;painful;task;
painful;task;of;
task;of;tracing;
of;tracing;his;
tracing;his;course;
his;course;farther;
course;farther;we;
farther;we;may;
we;may;say;
may;say;the;
say;the;latter;
the;latter;pursuits;
latter;pursuits;and;
pursuits;and;habits;
and;habits;of;
habits;of;this;
of;this;unhappy;
this;unhappy;prince;
unhappy;prince;are;
prince;are;those;
are;those;painfully;
those;painfully;evincing;
painfully;evincing;a;
evincing;a;broken;
a;broken;heart;
broken;heart;which;
heart;which;seeks;
which;seeks;refuge;
seeks;refuge;from;
refuge;from;its;
from;its;own;
its;own;thoughts;
own;thoughts;in;
thoughts;in;sordid;
in;sordid;enjoyments;
sordid;enjoyments;still;
enjoyments;still;however;
still;however;it;
however;it;was;
it;was;long;
was;long;ere;
long;ere;charles;
ere;charles;edward;
charles;edward;appeared;
edward;appeared;to;
appeared;to;be;
to;be;perhaps;
be;perhaps;it;
perhaps;it;was;
it;was;long;
was;long;ere;
long;ere;he;
ere;he;altogether;
he;altogether;became;
altogether;became;so;
became;so;much;
so;much;degraded;
much;degraded;from;
degraded;from;his;
from;his;original;
his;original;self;
original;self;as;
self;as;he;
as;he;enjoyed;
he;enjoyed;for;
enjoyed;for;a;
for;a;time;
a;time;the;
time;the;lustre;
the;lustre;attending;
lustre;attending;the;
attending;the;progress;
the;progress;and;
progress;and;termination;
and;termination;of;
termination;of;his;
of;his;enterprise;
his;enterprise;those;
enterprise;those;who;
those;who;thought;
who;thought;they;
thought;they;discerned;
they;discerned;in;
discerned;in;his;
in;his;subsequent;
his;subsequent;conduct;
subsequent;conduct;an;
conduct;an;insensibility;
an;insensibility;to;
insensibility;to;the;
to;the;distresses;
the;distresses;of;
distresses;of;his;
of;his;followers;
his;followers;coupled;
followers;coupled;with;
coupled;with;that;
with;that;egotistical;
that;egotistical;attention;
egotistical;attention;to;
attention;to;his;
to;his;own;
his;own;interests;
own;interests;which;
interests;which;has;
which;has;been;
has;been;often;
been;often;attributed;
often;attributed;to;
attributed;to;the;
to;the;stuart;
the;stuart;family;
stuart;family;and;
family;and;which;
and;which;is;
which;is;the;
is;the;natural;
the;natural;effect;
natural;effect;of;
effect;of;the;
of;the;principles;
the;principles;of;
principles;of;divine;
of;divine;right;
divine;right;in;
right;in;which;
in;which;they;
which;they;were;
they;were;brought;
were;brought;up;
brought;up;were;
up;were;now;
were;now;generally;
now;generally;considered;
generally;considered;as;
considered;as;dissatisfied;
as;dissatisfied;and;
dissatisfied;and;splenetic;
and;splenetic;persons;
splenetic;persons;who;
persons;who;displeased;
who;displeased;with;
displeased;with;the;
with;the;issue;
the;issue;of;
issue;of;their;
of;their;adventure;
their;adventure;and;
adventure;and;finding;
and;finding;themselves;
finding;themselves;involved;
themselves;involved;in;
involved;in;the;
in;the;ruins;
the;ruins;of;
ruins;of;a;
of;a;falling;
a;falling;cause;
falling;cause;indulged;
cause;indulged;themselves;
indulged;themselves;in;
themselves;in;undeserved;
in;undeserved;reproaches;
undeserved;reproaches;against;
reproaches;against;their;
against;their;leader;
their;leader;indeed;
leader;indeed;such;
indeed;such;censures;
such;censures;were;
censures;were;by;
were;by;no;
by;no;means;
no;means;frequent;
means;frequent;among;
frequent;among;those;
among;those;of;
those;of;his;
of;his;followers;
his;followers;who;
followers;who;if;
who;if;what;
if;what;was;
what;was;alleged;
was;alleged;had;
alleged;had;been;
had;been;just;
been;just;had;
just;had;the;
had;the;best;
the;best;right;
best;right;to;
right;to;complain;
to;complain;far;
complain;far;the;
far;the;greater;
the;greater;number;
greater;number;of;
number;of;those;
of;those;unfortunate;
those;unfortunate;gentlemen;
unfortunate;gentlemen;suffered;
gentlemen;suffered;with;
suffered;with;the;
with;the;most;
the;most;dignified;
most;dignified;patience;
dignified;patience;and;
patience;and;were;
and;were;either;
were;either;too;
either;too;proud;
too;proud;to;
proud;to;take;
to;take;notice;
take;notice;of;
notice;of;ill-treatment;
of;ill-treatment;an;
ill-treatment;an;the;
an;the;part;
the;part;of;
part;of;their;
of;their;prince;
their;prince;or;
prince;or;so;
or;so;prudent;
so;prudent;as;
prudent;as;to;
as;to;be;
to;be;aware;
be;aware;their;
aware;their;complaints;
their;complaints;would;
complaints;would;meet;
would;meet;with;
meet;with;little;
with;little;sympathy;
little;sympathy;from;
sympathy;from;the;
from;the;world;
the;world;it;
world;it;may;
it;may;be;
may;be;added;
be;added;that;
added;that;the;
that;the;greater;
the;greater;part;
greater;part;of;
part;of;the;
of;the;banished;
the;banished;jacobites;
banished;jacobites;and;
jacobites;and;those;
and;those;of;
those;of;high;
of;high;rank;
high;rank;and;
rank;and;consequence;
and;consequence;were;
consequence;were;not;
were;not;much;
not;much;within;
much;within;reach;
within;reach;of;
reach;of;the;
of;the;influence;
the;influence;of;
influence;of;the;
of;the;princes;
the;princes;character;
princes;character;and;
character;and;conduct;
and;conduct;whether;
conduct;whether;well;
whether;well;regulated;
well;regulated;or;
regulated;or;otherwise;
or;otherwise;in;
otherwise;in;the;
in;the;meantime;
the;meantime;that;
meantime;that;great;
that;great;jacobite;
great;jacobite;conspiracy;
jacobite;conspiracy;of;
conspiracy;of;which;
of;which;the;
which;the;insurrection;
the;insurrection;of;
insurrection;of;was;
of;was;but;
was;but;a;
but;a;small;
a;small;part;
small;part;precipitated;
part;precipitated;into;
precipitated;into;action;
into;action;on;
action;on;the;
on;the;failure;
the;failure;of;
failure;of;a;
of;a;far;
a;far;more;
far;more;general;
more;general;scheme;
general;scheme;was;
scheme;was;resumed;
was;resumed;and;
resumed;and;again;
and;again;put;
again;put;into;
put;into;motion;
into;motion;by;
motion;by;the;
by;the;jacobites;
the;jacobites;of;
jacobites;of;england;
of;england;whose;
england;whose;force;
whose;force;had;
force;had;never;
had;never;been;
never;been;broken;
been;broken;as;
broken;as;they;
as;they;had;
they;had;prudently;
had;prudently;avoided;
prudently;avoided;bringing;
avoided;bringing;it;
bringing;it;into;
it;into;the;
into;the;field;
the;field;the;
field;the;surprising;
the;surprising;effect;
surprising;effect;which;
effect;which;had;
which;had;been;
had;been;produced;
been;produced;by;
produced;by;small;
by;small;means;
small;means;in;
means;in;animated;
in;animated;their;
animated;their;hopes;
their;hopes;for;
hopes;for;more;
for;more;important;
more;important;successes;
important;successes;when;
successes;when;the;
when;the;whole;
the;whole;nonjuring;
whole;nonjuring;interest;
nonjuring;interest;of;
interest;of;britain;
of;britain;identified;
britain;identified;as;
identified;as;it;
as;it;then;
it;then;was;
then;was;with;
was;with;great;
with;great;part;
great;part;of;
part;of;the;
of;the;landed;
the;landed;gentlemen;
landed;gentlemen;should;
gentlemen;should;come;
should;come;forward;
come;forward;to;
forward;to;finish;
to;finish;what;
finish;what;had;
what;had;been;
had;been;gallantly;
been;gallantly;attempted;
gallantly;attempted;by;
attempted;by;a;
by;a;few;
a;few;highland;
few;highland;chiefs;
highland;chiefs;it;
chiefs;it;is;
it;is;probable;
is;probable;indeed;
probable;indeed;that;
indeed;that;the;
that;the;jacobites;
the;jacobites;of;
jacobites;of;the;
of;the;day;
the;day;were;
day;were;incapable;
were;incapable;of;
incapable;of;considering;
of;considering;that;
considering;that;the;
that;the;very;
the;very;small;
very;small;scale;
small;scale;on;
scale;on;which;
on;which;the;
which;the;effort;
the;effort;was;
effort;was;made;
was;made;was;
made;was;in;
was;in;one;
in;one;great;
one;great;measure;
great;measure;the;
measure;the;cause;
the;cause;of;
cause;of;its;
of;its;unexpected;
its;unexpected;success;
unexpected;success;the;
success;the;remarkable;
the;remarkable;speed;
remarkable;speed;with;
speed;with;which;
with;which;the;
which;the;insurgents;
the;insurgents;marched;
insurgents;marched;the;
marched;the;singularly;
the;singularly;good;
singularly;good;discipline;
good;discipline;which;
discipline;which;they;
which;they;preserved;
they;preserved;the;
preserved;the;union;
the;union;and;
union;and;unanimity;
and;unanimity;which;
unanimity;which;for;
which;for;some;
for;some;time;
some;time;animated;
time;animated;their;
animated;their;councils;
their;councils;were;
councils;were;all;
were;all;in;
all;in;a;
in;a;considerable;
a;considerable;degree;
considerable;degree;produced;
degree;produced;by;
produced;by;the;
by;the;smallness;
the;smallness;of;
smallness;of;their;
of;their;numbers;
their;numbers;notwithstanding;
numbers;notwithstanding;the;
notwithstanding;the;discomfiture;
the;discomfiture;of;
discomfiture;of;charles;
of;charles;edward;
charles;edward;the;
edward;the;nonjurors;
the;nonjurors;of;
nonjurors;of;the;
of;the;period;
the;period;long;
period;long;continued;
long;continued;to;
continued;to;nurse;
to;nurse;unlawful;
nurse;unlawful;schemes;
unlawful;schemes;and;
schemes;and;to;
and;to;drink;
to;drink;treasonable;
drink;treasonable;toasts;
treasonable;toasts;until;
toasts;until;age;
until;age;stole;
age;stole;upon;
stole;upon;them;
upon;them;another;
them;another;generation;
another;generation;arose;
generation;arose;who;
arose;who;did;
who;did;not;
did;not;share;
not;share;the;
share;the;sentiments;
the;sentiments;which;
sentiments;which;they;
which;they;cherished;
they;cherished;and;
cherished;and;at;
and;at;length;
at;length;the;
length;the;sparkles;
the;sparkles;of;
sparkles;of;disaffection;
of;disaffection;which;
disaffection;which;had;
which;had;long;
had;long;smouldered;
long;smouldered;but;
smouldered;but;had;
but;had;never;
had;never;been;
never;been;heated;
been;heated;enough;
heated;enough;to;
enough;to;burst;
to;burst;into;
burst;into;actual;
into;actual;flame;
actual;flame;became;
flame;became;entirely;
became;entirely;extinguished;
entirely;extinguished;but;
extinguished;but;in;
but;in;proportion;
in;proportion;as;
proportion;as;the;
as;the;political;
the;political;enthusiasm;
political;enthusiasm;died;
enthusiasm;died;gradually;
died;gradually;away;
gradually;away;among;
away;among;men;
among;men;of;
men;of;ordinary;
of;ordinary;temperament;
ordinary;temperament;it;
temperament;it;influenced;
it;influenced;those;
influenced;those;of;
those;of;warm;
of;warm;imaginations;
warm;imaginations;and;
imaginations;and;weak;
and;weak;understandings;
weak;understandings;and;
understandings;and;hence;
and;hence;wild;
hence;wild;schemes;
wild;schemes;were;
schemes;were;formed;
were;formed;as;
formed;as;desperate;
as;desperate;as;
desperate;as;they;
as;they;were;
they;were;adventurous;
were;adventurous;thus;
adventurous;thus;a;
thus;a;young;
a;young;scottishman;
young;scottishman;of;
scottishman;of;rank;
of;rank;is;
rank;is;said;
is;said;to;
said;to;have;
to;have;stooped;
have;stooped;so;
stooped;so;low;
so;low;as;
low;as;to;
as;to;plot;
to;plot;the;
plot;the;surprisal;
the;surprisal;of;
surprisal;of;st;
of;st;jamess;
st;jamess;palace;
jamess;palace;and;
palace;and;the;
and;the;assassination;
the;assassination;of;
assassination;of;the;
of;the;royal;
the;royal;family;
royal;family;while;
family;while;these;
while;these;ill-digested;
these;ill-digested;and;
ill-digested;and;desperate;
and;desperate;conspiracies;
desperate;conspiracies;were;
conspiracies;were;agitated;
were;agitated;among;
agitated;among;the;
among;the;few;
the;few;jacobites;
few;jacobites;who;
jacobites;who;still;
who;still;adhered;
still;adhered;with;
adhered;with;more;
with;more;obstinacy;
more;obstinacy;to;
obstinacy;to;their;
to;their;purpose;
their;purpose;there;
purpose;there;is;
there;is;no;
is;no;question;
no;question;but;
question;but;that;
but;that;other;
that;other;plots;
other;plots;might;
plots;might;have;
might;have;been;
have;been;brought;
been;brought;to;
brought;to;an;
to;an;open;
an;open;explosion;
open;explosion;had;
explosion;had;it;
had;it;not;
it;not;suited;
not;suited;the;
suited;the;policy;
the;policy;of;
policy;of;sir;
of;sir;robert;
sir;robert;walpole;
robert;walpole;rather;
walpole;rather;to;
rather;to;prevent;
to;prevent;or;
prevent;or;disable;
or;disable;the;
disable;the;conspirators;
the;conspirators;in;
conspirators;in;their;
in;their;projects;
their;projects;than;
projects;than;to;
than;to;promulgate;
to;promulgate;the;
promulgate;the;tale;
the;tale;of;
tale;of;danger;
of;danger;which;
danger;which;might;
which;might;thus;
might;thus;have;
thus;have;been;
have;been;believed;
been;believed;to;
believed;to;be;
to;be;more;
be;more;widely;
more;widely;diffused;
widely;diffused;than;
diffused;than;was;
than;was;really;
was;really;the;
really;the;case;
the;case;in;
case;in;one;
in;one;instance;
one;instance;alone;
instance;alone;this;
alone;this;very;
this;very;prudential;
very;prudential;and;
prudential;and;humane;
and;humane;line;
humane;line;of;
line;of;conduct;
of;conduct;was;
conduct;was;departed;
was;departed;from;
departed;from;and;
from;and;the;
and;the;event;
the;event;seemed;
event;seemed;to;
seemed;to;confirm;
to;confirm;the;
confirm;the;policy;
the;policy;of;
policy;of;the;
of;the;general;
the;general;course;
general;course;doctor;
course;doctor;archibald;
doctor;archibald;cameron;
archibald;cameron;brother;
cameron;brother;of;
brother;of;the;
of;the;celebrated;
the;celebrated;donald;
celebrated;donald;cameron;
donald;cameron;of;
cameron;of;lochiel;
of;lochiel;attainted;
lochiel;attainted;for;
attainted;for;the;
for;the;rebellion;
the;rebellion;of;
rebellion;of;was;
of;was;found;
was;found;by;
found;by;a;
by;a;party;
a;party;of;
party;of;soldiers;
of;soldiers;lurking;
soldiers;lurking;with;
lurking;with;a;
with;a;comrade;
a;comrade;in;
comrade;in;the;
in;the;wilds;
the;wilds;of;
wilds;of;loch;
of;loch;katrine;
loch;katrine;five;
katrine;five;or;
five;or;six;
or;six;years;
six;years;after;
years;after;the;
after;the;battle;
the;battle;of;
battle;of;culloden;
of;culloden;and;
culloden;and;was;
and;was;there;
was;there;seized;
there;seized;there;
seized;there;were;
there;were;circumstances;
were;circumstances;in;
circumstances;in;his;
in;his;case;
his;case;so;
case;so;far;
so;far;as;
far;as;was;
as;was;made;
was;made;known;
made;known;to;
known;to;the;
to;the;public;
the;public;which;
public;which;attracted;
which;attracted;much;
attracted;much;compassion;
much;compassion;and;
compassion;and;gave;
and;gave;to;
gave;to;the;
to;the;judicial;
the;judicial;proceedings;
judicial;proceedings;against;
proceedings;against;him;
against;him;an;
him;an;appearance;
an;appearance;of;
appearance;of;cold-blooded;
of;cold-blooded;revenge;
cold-blooded;revenge;on;
revenge;on;the;
on;the;part;
the;part;of;
part;of;government;
of;government;and;
government;and;the;
and;the;following;
the;following;argument;
following;argument;of;
argument;of;a;
of;a;zealous;
a;zealous;jacobite;
zealous;jacobite;in;
jacobite;in;his;
in;his;favour;
his;favour;was;
favour;was;received;
was;received;as;
received;as;conclusive;
as;conclusive;by;
conclusive;by;dr;
by;dr;johnson;
dr;johnson;and;
johnson;and;other;
and;other;persons;
other;persons;who;
persons;who;might;
who;might;pretend;
might;pretend;to;
pretend;to;impartiality;
to;impartiality;dr;
impartiality;dr;cameron;
dr;cameron;had;
cameron;had;never;
had;never;borne;
never;borne;arms;
borne;arms;although;
arms;although;engaged;
although;engaged;in;
engaged;in;the;
in;the;rebellion;
the;rebellion;but;
rebellion;but;used;
but;used;his;
used;his;medical;
his;medical;skill;
medical;skill;for;
skill;for;the;
for;the;service;
the;service;indifferently;
service;indifferently;of;
indifferently;of;the;
of;the;wounded;
the;wounded;of;
wounded;of;both;
of;both;parties;
both;parties;his;
parties;his;return;
his;return;to;
return;to;scotland;
to;scotland;was;
scotland;was;ascribed;
was;ascribed;exclusively;
ascribed;exclusively;to;
exclusively;to;family;
to;family;affairs;
family;affairs;his;
affairs;his;behaviour;
his;behaviour;at;
behaviour;at;the;
at;the;bar;
the;bar;was;
bar;was;decent;
was;decent;firm;
decent;firm;and;
firm;and;respectful;
and;respectful;his;
respectful;his;wife;
his;wife;threw;
wife;threw;herself;
threw;herself;on;
herself;on;three;
on;three;different;
three;different;occasions;
different;occasions;before;
occasions;before;george;
before;george;ii;
george;ii;and;
ii;and;the;
and;the;members;
the;members;of;
members;of;his;
of;his;family;
his;family;was;
family;was;rudely;
was;rudely;repulsed;
rudely;repulsed;from;
repulsed;from;their;
from;their;presence;
their;presence;and;
presence;and;at;
and;at;length;
at;length;placed;
length;placed;it;
placed;it;was;
it;was;said;
was;said;in;
said;in;the;
in;the;same;
the;same;prison;
same;prison;with;
prison;with;her;
with;her;husband;
her;husband;and;
husband;and;confined;
and;confined;with;
confined;with;unmanly;
with;unmanly;severity;
unmanly;severity;dr;
severity;dr;cameron;
dr;cameron;was;
cameron;was;finally;
was;finally;executed;
finally;executed;with;
executed;with;all;
with;all;the;
all;the;severities;
the;severities;of;
severities;of;the;
of;the;law;
the;law;of;
law;of;treason;
of;treason;and;
treason;and;his;
and;his;death;
his;death;remains;
death;remains;in;
remains;in;popular;
in;popular;estimation;
popular;estimation;a;
estimation;a;dark;
a;dark;blot;
dark;blot;upon;
blot;upon;the;
upon;the;memory;
the;memory;of;
memory;of;george;
of;george;ii;
george;ii;being;
ii;being;almost;
being;almost;publicly;
almost;publicly;imputed;
publicly;imputed;to;
imputed;to;a;
to;a;mean;
a;mean;and;
mean;and;personal;
and;personal;hatred;
personal;hatred;of;
hatred;of;donald;
of;donald;cameron;
donald;cameron;of;
cameron;of;lochiel;
of;lochiel;the;
lochiel;the;sufferers;
the;sufferers;heroic;
sufferers;heroic;brother;
heroic;brother;yet;
brother;yet;the;
yet;the;fact;
the;fact;was;
fact;was;that;
was;that;whether;
that;whether;the;
whether;the;execution;
the;execution;of;
execution;of;archibald;
of;archibald;cameron;
archibald;cameron;was;
cameron;was;political;
was;political;or;
political;or;otherwise;
or;otherwise;it;
otherwise;it;might;
it;might;certainly;
might;certainly;have;
certainly;have;been;
have;been;justified;
been;justified;had;
justified;had;the;
had;the;kings;
the;kings;ministers;
kings;ministers;so;
ministers;so;pleased;
so;pleased;upon;
pleased;upon;reasons;
upon;reasons;of;
reasons;of;a;
of;a;public;
a;public;nature;
public;nature;the;
nature;the;unfortunate;
the;unfortunate;sufferer;
unfortunate;sufferer;had;
sufferer;had;not;
had;not;come;
not;come;to;
come;to;the;
to;the;highlands;
the;highlands;solely;
highlands;solely;upon;
solely;upon;his;
upon;his;private;
his;private;affairs;
private;affairs;as;
affairs;as;was;
as;was;the;
was;the;general;
the;general;belief;
general;belief;but;
belief;but;it;
but;it;was;
it;was;not;
was;not;judged;
not;judged;prudent;
judged;prudent;by;
prudent;by;the;
by;the;english;
the;english;ministry;
english;ministry;to;
ministry;to;let;
to;let;it;
let;it;be;
it;be;generally;
be;generally;known;
generally;known;that;
known;that;he;
that;he;came;
he;came;to;
came;to;inquire;
to;inquire;about;
inquire;about;a;
about;a;considerable;
a;considerable;sum;
considerable;sum;of;
sum;of;money;
of;money;which;
money;which;had;
which;had;been;
had;been;remitted;
been;remitted;from;
remitted;from;france;
from;france;to;
france;to;the;
to;the;friends;
the;friends;of;
friends;of;the;
of;the;exiled;
the;exiled;family;
exiled;family;he;
family;he;had;
he;had;also;
had;also;a;
also;a;commission;
a;commission;to;
commission;to;hold;
to;hold;intercourse;
hold;intercourse;with;
intercourse;with;the;
with;the;well-known;
the;well-known;mpherson;
well-known;mpherson;of;
mpherson;of;cluny;
of;cluny;chief;
cluny;chief;of;
chief;of;the;
of;the;clan;
the;clan;vourich;
clan;vourich;whom;
vourich;whom;the;
whom;the;chevalier;
the;chevalier;had;
chevalier;had;left;
had;left;behind;
left;behind;at;
behind;at;his;
at;his;departure;
his;departure;from;
departure;from;scotland;
from;scotland;in;
scotland;in;and;
in;and;who;
and;who;remained;
who;remained;during;
remained;during;ten;
during;ten;years;
ten;years;of;
years;of;proscription;
of;proscription;and;
proscription;and;danger;
and;danger;skulking;
danger;skulking;from;
skulking;from;place;
from;place;to;
place;to;place;
to;place;in;
place;in;the;
in;the;highlands;
the;highlands;and;
highlands;and;maintaining;
and;maintaining;an;
maintaining;an;uninterrupted;
an;uninterrupted;correspondence;
uninterrupted;correspondence;between;
correspondence;between;charles;
between;charles;and;
charles;and;his;
and;his;friends;
his;friends;that;
friends;that;dr;
that;dr;cameron;
dr;cameron;should;
cameron;should;have;
should;have;held;
have;held;a;
held;a;commission;
a;commission;to;
commission;to;assist;
to;assist;this;
assist;this;chief;
this;chief;in;
chief;in;raking;
in;raking;together;
raking;together;the;
together;the;dispersed;
the;dispersed;embers;
dispersed;embers;of;
embers;of;disaffection;
of;disaffection;is;
disaffection;is;in;
is;in;itself;
in;itself;sufficiently;
itself;sufficiently;natural;
sufficiently;natural;and;
natural;and;considering;
and;considering;his;
considering;his;political;
his;political;principles;
political;principles;in;
principles;in;no;
in;no;respect;
no;respect;dishonourable;
respect;dishonourable;to;
dishonourable;to;his;
to;his;memory;
his;memory;but;
memory;but;neither;
but;neither;ought;
neither;ought;it;
ought;it;to;
it;to;be;
to;be;imputed;
be;imputed;to;
imputed;to;george;
to;george;ii;
george;ii;that;
ii;that;he;
that;he;suffered;
he;suffered;the;
suffered;the;laws;
the;laws;to;
laws;to;be;
to;be;enforced;
be;enforced;against;
enforced;against;a;
against;a;person;
a;person;taken;
person;taken;in;
taken;in;the;
in;the;act;
the;act;of;
act;of;breaking;
of;breaking;them;
breaking;them;when;
them;when;he;
when;he;lost;
he;lost;his;
lost;his;hazardous;
his;hazardous;game;
hazardous;game;dr;
game;dr;cameron;
dr;cameron;only;
cameron;only;paid;
only;paid;the;
paid;the;forfeit;
the;forfeit;which;
forfeit;which;he;
which;he;must;
he;must;have;
must;have;calculated;
have;calculated;upon;
calculated;upon;the;
upon;the;ministers;
the;ministers;however;
ministers;however;thought;
however;thought;it;
thought;it;proper;
it;proper;to;
proper;to;leave;
to;leave;dr;
leave;dr;camerons;
dr;camerons;new;
camerons;new;schemes;
new;schemes;in;
schemes;in;concealment;
in;concealment;lest;
concealment;lest;by;
lest;by;divulging;
by;divulging;them;
divulging;them;they;
them;they;had;
they;had;indicated;
had;indicated;the;
indicated;the;channel;
the;channel;of;
channel;of;communication;
of;communication;which;
communication;which;it;
which;it;is;
it;is;now;
is;now;well;
now;well;known;
well;known;they;
known;they;possessed;
they;possessed;to;
possessed;to;all;
to;all;the;
all;the;plots;
the;plots;of;
